media_id,media_title,category,media_format,release_dt,duration_min
SVC0001,Northlight,General Entertainment,tv_series,2025-09-01,45
SVC0002,Depths Unknown,Docs & Reality,movie,2024-11-15,94
SVC0003,Laughing Stock,Comedy,tv_series,2025-04-10,28
SVC0004,The Long Shift,General Entertainment,movie,2023-06-30,107
SVC0005,Open Mic Nights,comedy,tv_series,2025-11-01,22
SVC0006,Cascadia,General Entertainment,tv_series,2024-03-18,55
SVC0007,Robot Ruckus,Kids,tv_series,2025-08-05,12
SVC0008,Late Night Legends,COMEDY,tv_series,2024-12-01,35
SVC0009,Voices from the Amazon,docs & reality,movie,2025-05-20,102
SVC0010,The Frozen North,Thriller,movie,2024-08-17,95
SVC0011,Wildfire Season,General Entertainment,tv_series,2025-06-12,48
SVC0012,The Apology Tour,Comedy,tv_series,2025-09-15,30
SVC0013,Deep Blue,Docs & Reality,movie,2024-04-08,112
SVC0014,The Comeback,General Entertainment,tv_series,2025-07-01,55
SVC0015,Circuit Breaker,thriller,tv_series,2025-12-10,47
SVC0016,Static Nights,General Entertainment,tv_series,2023-02-14,42
SVC0017,The Hollow Hour,Thriller,movie,2023-05-09,101
SVC0018,Prime Time Pundits,General Entertainment,tv_series,2023-09-22,33
SVC0019,Field Notes,docs & reality,movie,2023-11-30,88
SVC0020,Rusty Gears,Kids,tv_series,2024-01-17,14
SVC0021,Weekend Warriors,Sports & Live,live_event,2024-06-04,150
SVC0022,The Understudy,General Entertainment,movie,2024-09-13,99
SVC0023,Chalk Talk,sports & live,tv_series,2025-02-27,36
SVC0024,Laugh Track,COMEDY,tv_series,2025-03-19,24
SVC0025,Midnight Freq,Thriller,tv_series,2025-08-08,41
