campaign_id,advertiser_id,campaign_name,campaign_type,start_date,end_date,budget_cents
cmp_001,adv_a,TechNova Q1 Awareness,test,2024-01-01,2024-03-31,5000000
cmp_002,adv_b,SportsBet January Push,video,2024-01-10,2024-01-31,2500000
cmp_003,adv_c,GreenGrow Brand Values,sponsored_content,2024-01-15,2024-02-15,1800000
cmp_004,adv_a,TechNova Podcast Blitz,podcast_ad,2024-01-08,2024-02-08,1200000
cmp_005,adv_d,FinanceHub Newsletter,newsletter,2024-01-01,2024-01-31,750000
cmp_006,adv_e,AutoPrime Video Series,video,2024-01-20,2024-02-20,3200000
cmp_007,adv_b,SportsBet Champions League,display,2024-01-19,2024-02-10,1900000
cmp_008,adv_c,GreenGrow Podcast Stories,podcast_ad,2024-01-22,2024-02-22,950000
cmp_009,adv_f,FoodieBox Recipe Series,sponsored_content,2024-01-15,2024-02-28,2200000
cmp_010,adv_g,TravelEase Discovery,display,2024-02-01,2024-03-15,3800000
cmp_011,adv_b,SportsBet Champions Week,video,2024-02-01,2024-02-28,2100000
cmp_012,adv_h,HealthPlus Awareness,sponsored_content,2024-01-20,2024-02-20,1600000
cmp_013,adv_a,TechNova Spring Push,display,2024-02-01,2024-03-31,4500000
cmp_014,adv_d,FinanceHub Podcast Series,podcast_ad,2024-02-05,2024-03-05,1400000
cmp_015,adv_e,AutoPrime Newsletter,newsletter,2024-02-01,2024-02-29,680000
cmp_016,adv_f,FoodieBox Podcast Spots,podcast_ad,2024-02-10,2024-03-10,1100000
cmp_017,adv_c,GreenGrow Video Campaign,video,2024-02-15,2024-03-15,2900000
cmp_018,adv_g,TravelEase Newsletter,newsletter,2024-01-22,2024-02-22,590000
