article_id,title,author_id,category,published_at,updated_at,status,word_count
art_001,Global Markets Rally After Rate Decision,auth_001,politics,2024-01-15 09:00:00,2024-01-15 09:00:00,published,820
art_002,New Study Links Screen Time to Sleep Disruption,auth_003,technology,2024-01-16 10:30:00,2024-01-16 10:30:00,published,1150
art_003,City Council Approves Green Energy Initiative,auth_002,politics,2024-01-17 08:15:00,2024-01-17 08:15:00,published,640
art_004,StreamVault Hits 10 Million Subscribers,auth_005,entertainment,2024-01-18 11:00:00,2024-01-18 11:00:00,published,520
art_001,Global Markets Rally After Rate Decision,auth_001,politics,2024-01-15 09:00:00,2024-01-20 14:30:00,Published,875
art_005,Championship Final Preview - Who Will Win?,auth_006,sport,2024-01-19 07:00:00,2024-01-19 07:00:00,Published,430
art_006,Interview: The Future of Podcast Advertising,auth_004,entertainment,2024-01-20 09:45:00,2024-01-20 09:45:00,published,970
art_007,Climate Summit Ends With Landmark Agreement,auth_001,politics,2024-01-21 12:00:00,2024-01-21 12:00:00,published,1300
art_003,City Council Approves Green Energy Initiative,auth_002,politics,2024-01-17 08:15:00,2024-01-22 16:00:00,archived,640
art_008,AI Tools Reshape Newsroom Workflows,auth_008,technology,2024-01-22 10:00:00,2024-01-22 10:00:00,published,890
art_009,Weekend Box Office: Animated Feature Tops Charts,auth_007,entertainment,2024-01-22 13:30:00,2024-01-22 13:30:00,published,380
art_010,Local Sports Roundup,auth_006,sport,2024-01-23 08:00:00,2024-01-23 08:00:00,draft,210
art_002,New Study Links Screen Time to Sleep Disruption,auth_003,technology,2024-01-16 10:30:00,2024-01-24 11:15:00,published,1220
art_011,Quarterly Earnings Season Kicks Off,auth_001,politics,2024-01-25 09:00:00,2024-01-25 09:00:00,published,760
art_012,The Rise of Audio Fiction Podcasts,auth_004,entertainment,2024-01-25 14:00:00,2024-01-25 14:00:00,published,1040
art_013,Budget Talks Stall as Deadline Approaches,auth_002,politics,2024-01-26 08:30:00,2024-01-26 08:30:00,published,870
art_014,Wearable Tech Review: Three Devices Tested,auth_009,technology,2024-01-26 11:00:00,2024-01-26 11:00:00,published,1380
art_015,Transfer Window Wrap-Up,auth_006,sport,2024-01-27 07:30:00,2024-01-27 07:30:00,published,650
art_016,Streaming Platforms Battle for Original Content,auth_005,entertainment,2024-01-28 09:15:00,2024-01-28 09:15:00,new,920
art_017,Central Bank Signals Pause on Rate Hikes,auth_001,politics,2024-01-29 10:00:00,2024-01-29 10:00:00,published,740
art_018,Breakthrough in Quantum Computing Announced,auth_003,technology,2024-01-29 11:30:00,2024-01-29 11:30:00,published,1100
art_019,Charity Gala Raises Record Funds for Youth Sport,auth_010,sport,2024-01-30 08:00:00,2024-01-30 08:00:00,published,490
art_020,Film Awards Season Heats Up,auth_007,entertainment,2024-01-30 13:00:00,2024-01-30 13:00:00,published,810
art_015,Transfer Window Wrap-Up,auth_006,sport,2024-01-27 07:30:00,2024-01-31 09:00:00,published,720
art_021,Inflation Eases for Second Consecutive Month,auth_012,politics,2024-01-31 09:00:00,2024-01-31 09:00:00,published,680
art_022,Social Media Algorithm Changes Hit Small Publishers,auth_008,technology,2024-01-31 11:00:00,2024-01-31 11:00:00,published,960
art_023,Olympics Qualification Standings Revealed,auth_006,sport,2024-02-01 07:00:00,2024-02-01 07:00:00,published,540
art_024,Box Office Report: February Preview,auth_007,entertainment,2024-02-01 14:00:00,2024-02-01 14:00:00,published,620
art_025,Trade Talks Resume After Three-Month Break,auth_011,politics,2024-02-02 09:00:00,2024-02-02 09:00:00,published,850
art_026,Open-Source AI Model Released by Research Lab,auth_009,technology,2024-02-03 10:30:00,2024-02-03 10:30:00,published,1250
art_027,Rugby Six Nations Opening Weekend,auth_013,sport,2024-02-04 08:00:00,2024-02-04 08:00:00,published,480
art_028,Podcast Listening Surpasses Radio in Key Demo,auth_004,entertainment,2024-02-05 09:00:00,2024-02-05 09:00:00,published,770
art_025,Trade Talks Resume After Three-Month Break,auth_011,politics,2024-02-02 09:00:00,2024-02-06 12:00:00,archived,850
art_029,Regional Election Results: What They Mean,auth_002,politics,2024-02-06 08:30:00,2024-02-06 08:30:00,published,930
art_030,Data Privacy Bill Passes First Reading,auth_014,technology,2024-02-07 10:00:00,2024-02-07 10:00:00,published,1080
art_031,Champions League Round of 16 Draw,auth_006,sport,2024-02-08 09:00:00,2024-02-08 09:00:00,published,560
art_032,Music Streaming Revenue Hits All-Time High,auth_005,entertainment,2024-02-08 13:30:00,2024-02-08 13:30:00,published,730
art_033,Housing Market Cools in Major Cities,auth_001,politics,2024-02-09 09:30:00,2024-02-09 09:30:00,published,800
art_034,AI Chip Shortage Extends into Q2,auth_003,technology,2024-02-10 11:00:00,2024-02-10 11:00:00,published,1010
art_035,Winter Olympics Preview: Medal Contenders,auth_013,sport,2024-02-10 08:00:00,2024-02-10 08:00:00,published,670
art_036,Streaming Churn Rate Study Published,auth_015,entertainment,2024-02-11 10:00:00,2024-02-11 10:00:00,draft,580
art_030,Data Privacy Bill Passes First Reading,auth_014,technology,2024-02-07 10:00:00,2024-02-12 15:00:00,published,1140
art_037,Energy Subsidy Reform Debate Continues,auth_002,politics,2024-02-12 09:00:00,2024-02-12 09:00:00,published,720
art_038,Robotics Startup Secures Series B Funding,auth_009,technology,2024-02-13 11:30:00,2024-02-13 11:30:00,published,890
art_039,Women's Football Viewership Breaks Records,auth_006,sport,2024-02-14 07:30:00,2024-02-14 07:30:00,published,610
art_040,Behind the Scenes: How Podcasts Are Produced,auth_004,entertainment,2024-02-14 12:00:00,2024-02-14 12:00:00,published,1150
art_041,IMF Revises Global Growth Forecast Upwards,auth_012,politics,2024-02-15 09:00:00,2024-02-15 09:00:00,published,760
art_042,Cybersecurity Breach Exposes User Data at Finance App,auth_008,technology,2024-02-15 10:30:00,2024-02-15 10:30:00,published,980
