touchpoint_id,advertiser_id,rep_id,touchpoint_type,occurred_at,notes
tp_0001,adv_c,rep_02,email,2024-01-02 17:50:00,XXX
tp_0002,adv_c,rep_02,meeting,2024-01-03 11:20:00,Client's marketing director joined call to discuss co-op marketing funds
tp_0003,adv_k,rep_07,meeting,2024-01-03 12:30:00,Rescheduled brand values campaign brief meeting due to client conflict
tp_0004,adv_c,rep_02,email,2024-01-03 13:50:00,"Client requested changes to Q2 renewal, will revise and resend"
tp_0005,adv_p,rep_05,call,2024-01-04 13:50:00,Client pushed back on pricing during recipe series sponsorship discussion
tp_0006,adv_o,rep_02,call,2024-01-04 16:20:00,Rescheduled holiday campaign brief meeting due to client conflict
tp_0007,adv_o,rep_02,call,2024-01-07 08:30:00,Kickoff call for audience segment review
tp_0008,adv_h,rep_06,call,2024-01-07 11:45:00,Great meeting - advertiser committed to renewing after mid-flight performance summary review
tp_0009,adv_t,rep_06,call,2024-01-07 12:00:00,
tp_0010,adv_l,rep_05,email,2024-01-07 15:10:00,"Flagged concerns about programmatic pilot discussion performance, escalating internally"
tp_0011,adv_p,rep_07,meeting,2024-01-08 09:05:00,Advertiser asked for case studies related to brand values campaign brief
tp_0012,adv_h,rep_04,call,2024-01-09 08:45:00,Sent updated deck covering recipe series sponsorship to stakeholders
tp_0013,adv_n,rep_02,email,2024-01-09 08:45:00,Scheduled follow-up meeting to continue co-op marketing funds conversation
tp_0014,adv_k,rep_07,call,2024-01-10 09:10:00,"Flagged concerns about audience segment review performance, escalating internally"
tp_0015,adv_q,rep_08,demo,2024-01-11 08:05:00,no comment.
tp_0016,adv_t,rep_05,meeting,2024-01-11 11:05:00,Y.
tp_0017,adv_l,rep_05,call,2024-01-12 15:10:00,Sure
tp_0018,adv_c,rep_02,email,2024-01-15 11:05:00,"Flagged concerns about co-op marketing funds performance, escalating internally"
tp_0019,adv_t,rep_05,email,2024-01-15 12:15:00,<p>Called client re: renewal</p>
tp_0020,adv_h,rep_07,demo,2024-01-16 10:15:00,Discussed —important— deadline for co-op funds
tp_0021,adv_h,rep_07,call,2024-01-17 07:45:00,Rescheduled discovery placement walkthrough meeting due to client conflict
tp_0022,adv_d,rep_02,call,2024-01-17 09:20:00,Walked client through programmatic pilot discussion
tp_0023,adv_h,rep_07,call,2024-01-17 11:45:00,	
tp_0024,adv_h,rep_07,meeting,2024-01-18 15:45:00,Walked client through Q4 upsell conversation
tp_0025,adv_s,rep_06,call,2024-01-19 12:20:00,"Notes: n/a for this call, but discussed Q3 pricing at length"
tp_0026,adv_n,rep_02,call,2024-01-19 12:30:00,"Flagged concerns about programmatic pilot discussion performance, escalating internally"
tp_0027,adv_o,rep_03,meeting,2024-01-20 10:30:00,Discussed recipe series sponsorship with client
tp_0028,adv_e,rep_01,meeting,2024-01-20 11:15:00,"Reviewed contract terms tied to pricing negotiation, legal reviewing redlines"
tp_0029,adv_n,rep_02,call,2024-01-20 11:45:00,Walked client through contract renewal terms
tp_0030,adv_b,rep_04,email,2024-01-21 16:45:00,Sent updated deck covering brand values campaign brief to stakeholders
tp_0031,adv_t,rep_06,call,2024-01-22 17:10:00,Client pushed back on pricing during Q4 upsell conversation discussion
tp_0032,adv_n,rep_02,demo,2024-01-23 07:15:00,Sent updated deck covering holiday campaign brief to stakeholders
tp_0033,adv_i,rep_07,email,2024-01-24 12:05:00,Réunion avec le client à propos du renouvellement
tp_0034,adv_s,rep_05,demo,2024-01-24 15:15:00,"Flagged concerns about newsletter renewal performance, escalating internally"
tp_0035,adv_t,rep_06,email,2024-01-24 18:20:00,Advertiser asked for case studies related to Q1 awareness campaign
tp_0036,adv_a,rep_01,meeting,2024-01-26 09:30:00,"Client requested changes to co-op marketing funds, will revise and resend"
